Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 1812.88)",65,0.05233494363929147,40,25,0.38461538461538464,-1.09375555255516,0.08458085668295262,0.010075240178032104
"[1812.88, 3108.60)",167,0.13446054750402575,137,30,0.17964071856287425,-0.04497563763492596,0.00027599913496218143,3.449698438698335e-05
"[3108.60, 4328.97)",175,0.14090177133655393,148,27,0.15428571428571428,0.13761622595889067,0.0025497066660529425,0.00031846207678223274
"[4328.97, 7351.44)",311,0.250402576489533,267,44,0.1414790996784566,0.23929984268109306,0.013240307864563355,0.0016511008047983642
"[7351.44, 9057.35)",100,0.08051529790660225,92,8,0.08,0.8785878535683089,0.04601340521575112,0.005573540811098416
"[9057.35, 12910.96)",122,0.09822866344605476,115,7,0.05737704918032787,1.2352627975070414,0.09810270789648551,0.01153820701934399
"[12910.96, 15956.03)",64,0.05152979066022544,54,10,0.15625,0.1226397717693335,0.0007442643697873994,9.29747873333088e-05
"[15956.03, 33550.82)",142,0.1143317230273752,112,30,0.2112676056338028,-0.2464576921679562,0.007511878210594621,0.0009366155019105036
"[33550.82, inf)",96,0.07729468599033816,62,34,0.3541666666666667,-0.9629853213719654,0.09415061759370479,0.011334180315956698
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.34716974363485453,0.0415548184796426
